,station,parameter,time,value
336,556,1,2011-06-01 03:00:00+00:00,1.2
337,778,1,2011-06-01 03:00:00+00:00,0.0
338,550,1,2011-06-01 03:00:00+00:00,0.0
339,549,1,2011-06-01 03:00:00+00:00,5.0
340,337,1,2011-06-01 03:00:00+00:00,0.0
341,347,1,2011-06-01 03:00:00+00:00,3.6
342,483,1,2011-06-01 03:00:00+00:00,2.3
343,564,1,2011-06-01 03:00:00+00:00,23.4
344,481,1,2011-06-01 03:00:00+00:00,0.0
345,484,1,2011-06-01 03:00:00+00:00,0.0
346,490,1,2011-06-01 03:00:00+00:00,1.2
347,569,1,2011-06-01 03:00:00+00:00,0.0
348,760,1,2011-06-01 03:00:00+00:00,0.0
349,487,1,2011-06-01 03:00:00+00:00,0.0
350,780,1,2011-06-01 03:00:00+00:00,0.0
351,485,1,2011-06-01 03:00:00+00:00,5.3
352,559,1,2011-06-01 03:00:00+00:00,8.8
353,765,1,2011-06-01 03:00:00+00:00,11.3
354,551,1,2011-06-01 03:00:00+00:00,0.0
355,494,1,2011-06-01 03:00:00+00:00,0.0
356,572,1,2011-06-01 03:00:00+00:00,0.0
357,492,1,2011-06-01 03:00:00+00:00,8.2
358,772,1,2011-06-01 03:00:00+00:00,8.0
359,775,1,2011-06-01 03:00:00+00:00,10.0
360,561,1,2011-06-01 03:00:00+00:00,0.0
361,574,1,2011-06-01 03:00:00+00:00,5.1
362,552,1,2011-06-01 03:00:00+00:00,0.0
363,773,1,2011-06-01 03:00:00+00:00,5.3
364,567,1,2011-06-01 03:00:00+00:00,0.0
365,779,1,2011-06-01 03:00:00+00:00,11.2
366,573,1,2011-06-01 03:00:00+00:00,18.5
367,498,1,2011-06-01 03:00:00+00:00,2.8
368,495,1,2011-06-01 03:00:00+00:00,80.0
369,782,1,2011-06-01 03:00:00+00:00,0.0
370,571,1,2011-06-01 03:00:00+00:00,5.0
371,568,1,2011-06-01 03:00:00+00:00,0.0
