,station,parameter,time,value,station__location,station__elevation,longitude,latitude
321,412,1,2011-06-01 03:00:00+00:00,120.1,SRID=4326;POINT (83.78595556 27.557175),126,83.78595556,27.557175
322,510,1,2011-06-01 03:00:00+00:00,21.1,SRID=4326;POINT (85.16463889 27.914975),966,85.16463889,27.914975
323,413,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.63470833 28.12732222),731,83.63470833,28.12732222
324,395,1,2011-06-01 03:00:00+00:00,11.9,SRID=4326;POINT (82.33041944 29.23088056),2727,82.33041944,29.23088056
325,402,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.13489889 29.61387611),2821,82.13489889,29.61387611
326,359,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.52512694 27.69233306),200,82.52512694,27.69233306
327,303,1,2011-06-01 03:00:00+00:00,11.4,SRID=4326;POINT (85.59513611 27.94456111),2574,85.59513611,27.94456111
328,459,1,2011-06-01 03:00:00+00:00,29.3,SRID=4326;POINT (83.92200833 28.08492222),1316,83.92200833,28.08492222
329,411,1,2011-06-01 03:00:00+00:00,17.3,SRID=4326;POINT (82.60156667 29.11607222),2683,82.60156667,29.11607222
330,305,1,2011-06-01 03:00:00+00:00,1.2,SRID=4326;POINT (87.86072222 26.65688889),107,87.86072222,26.65688889
331,511,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (86.13333333 27.63333333),1755,86.13333333,27.63333333
332,415,1,2011-06-01 03:00:00+00:00,38,SRID=4326;POINT (83.822042 28.265597),1630,83.822042,28.265597
333,360,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.21666667 29.55),1304,81.21666667,29.55
334,416,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.09388889 28.0075),200,82.09388889,28.0075
335,463,1,2011-06-01 03:00:00+00:00,20.2,SRID=4326;POINT (83.42044722 27.50681944),108,83.42044722,27.50681944
336,418,1,2011-06-01 03:00:00+00:00,4,SRID=4326;POINT (85.32415 27.72863611),1329,85.32415,27.72863611
337,398,1,2011-06-01 03:00:00+00:00,18,SRID=4326;POINT (85.78333333 26.88333333),200,85.78333333,26.88333333
338,507,1,2011-06-01 03:00:00+00:00,12.2,SRID=4326;POINT (86.477648 26.732702),110,86.477648,26.732702
339,400,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.23406 28.65843),1142,82.23406,28.65843
340,393,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.65964167 27.09985278),189,85.65964167,27.09985278
341,364,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.55824444 28.14408889),1728,83.55824444,28.14408889
342,363,1,2011-06-01 03:00:00+00:00,18.5,SRID=4326;POINT (81.33784167 28.33735833),145,81.33784167,28.33735833
343,309,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (80.82215806 29.78255194),1653,80.82215806,29.78255194
344,306,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.89998583 27.78868083),884,85.89998583,27.78868083
345,468,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.86222222 28.81555556),3671,83.86222222,28.81555556
346,509,1,2011-06-01 03:00:00+00:00,6.5,SRID=4326;POINT (80.93690083 29.26209694),563,80.93690083,29.26209694
347,421,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (86.10399389 27.67633111),909,86.10399389,27.67633111
348,462,1,2011-06-01 03:00:00+00:00,1.6,SRID=4326;POINT (85.9802263 27.6901515),2132,85.9802263,27.6901515
349,422,1,2011-06-01 03:00:00+00:00,6,SRID=4326;POINT (83.968287 28.261298),991,83.968287,28.261298
350,397,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.36280556 28.4229),2145,82.36280556,28.4229
351,516,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (84.57861111 27.36333333),243,84.57861111,27.36333333
352,473,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.27715833 27.75787778),1393,85.27715833,27.75787778
353,312,1,2011-06-01 03:00:00+00:00,1,SRID=4326;POINT (87.79385889 27.54731194),1807,87.79385889,27.54731194
354,425,1,2011-06-01 03:00:00+00:00,13.8,SRID=4326;POINT (83.60032222 28.26363611),964,83.60032222,28.26363611
355,326,1,2011-06-01 03:00:00+00:00,2,SRID=4326;POINT (80.84791 29.61881),1455,80.84791,29.61881
356,517,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.17534722 27.07456667),114,85.17534722,27.07456667
357,366,1,2011-06-01 03:00:00+00:00,5.9,SRID=4326;POINT (84.9 28.36666667),1334,84.9,28.36666667
358,472,1,2011-06-01 03:00:00+00:00,22.2,SRID=4326;POINT (83.81791111 28.29653889),1738,83.81791111,28.29653889
359,308,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.632553 27.901559),1362,85.632553,27.901559
360,365,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.084485 28.397338),1722,83.084485,28.397338
361,426,1,2011-06-01 03:00:00+00:00,39,SRID=4326;POINT (83.83303611 28.28957778),1717,83.83303611,28.28957778
362,503,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.53666667 27.87055556),243,82.53666667,27.87055556
363,368,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.86770278 27.59102222),167,83.86770278,27.59102222
364,327,1,2011-06-01 03:00:00+00:00,3.2,SRID=4326;POINT (80.767402 28.89607389),1280,80.767402,28.89607389
365,519,1,2011-06-01 03:00:00+00:00,1.5,SRID=4326;POINT (87.50166667 26.73416667),256,87.50166667,26.73416667
366,324,1,2011-06-01 03:00:00+00:00,20.7,SRID=4326;POINT (81.0118 29.16335194),1042,81.0118,29.16335194
367,433,1,2011-06-01 03:00:00+00:00,29,SRID=4326;POINT (83.91145 28.32501667),1506,83.91145,28.32501667
368,429,1,2011-06-01 03:00:00+00:00,29.5,SRID=4326;POINT (84.33299167 27.75816667),355,84.33299167,27.75816667
369,504,1,2011-06-01 03:00:00+00:00,3.5,SRID=4326;POINT (84.08660278 28.02695833),515,84.08660278,28.02695833
370,321,1,2011-06-01 03:00:00+00:00,120.2,SRID=4326;POINT (80.373015 29.28839306),1458,80.373015,29.28839306
371,469,1,2011-06-01 03:00:00+00:00,7,SRID=4326;POINT (84.812925 28.043503),518,84.812925,28.043503
